muni,state,muni_fines,state_fines
Acrelândia,AC,ACRELANDIA,AC
Assis Brasil,AC,ASSIS BRASIL,AC
Brasiléia,AC,BRASILEIA,AC
Bujari,AC,BUJARI,AC
Capixaba,AC,CAPIXABA,AC
Cruzeiro do Sul,AC,CRUZEIRO DO SUL,AC
Epitaciolândia,AC,EPITACIOLANDIA,AC
Feijó,AC,FEIJO,AC
Jordão,AC,JORDAO,AC
Mâncio Lima,AC,MANCIO LIMA,AC
Manoel Urbano,AC,MANOEL URBANO,AC
Marechal Thaumaturgo,AC,MARECHAL THAUMATURGO,AC
Plácido de Castro,AC,PLACIDO DE CASTRO,AC
Porto Acre,AC,PORTO ACRE,AC
Porto Walter,AC,PORTO WALTER,AC
Rio Branco,AC,RIO BRANCO,AC
Rodrigues Alves,AC,RODRIGUES ALVES,AC
Santa Rosa do Purus,AC,SANTA ROSA DO PURUS,AC
Sena Madureira,AC,SENA MADUREIRA,AC
Senador Guiomard,AC,SENADOR GUIOMARD,AC
Tarauacá,AC,TARAUACA,AC
Xapuri,AC,XAPURI,AC
Água Branca,AL,AGUA BRANCA,AL
Anadia,AL,ANADIA,AL
Arapiraca,AL,ARAPIRACA,AL
Atalaia,AL,ATALAIA,AL
Barra de Santo Antônio,AL,BARRA DE SANTO ANTONIO,AL
Barra de São Miguel,AL,BARRA DE SAO MIGUEL,AL
Batalha,AL,BATALHA,AL
Belém,AL,BELEM,AL
Belo Monte,AL,BELO MONTE,AL
Boca da Mata,AL,BOCA DA MATA,AL
Branquinha,AL,BRANQUINHA,AL
Cacimbinhas,AL,CACIMBINHAS,AL
Cajueiro,AL,CAJUEIRO,AL
Campestre,AL,CAMPESTRE,AL
Campo Alegre,AL,CAMPO ALEGRE,AL
Campo Grande,AL,CAMPO GRANDE,AL
Canapi,AL,CANAPI,AL
Capela,AL,CAPELA,AL
Carneiros,AL,,
Chã Preta,AL,CHA PRETA,AL
Coité do Nóia,AL,COITE DO NOIA,AL
Colônia Leopoldina,AL,COLONIA LEOPOLDINA,AL
Coqueiro Seco,AL,COQUEIRO SECO,AL
Coruripe,AL,CORURIPE,AL
Craíbas,AL,CRAIBAS,AL
Delmiro Gouveia,AL,DELMIRO GOUVEIA,AL
Dois Riachos,AL,DOIS RIACHOS,AL
Estrela de Alagoas,AL,ESTRELA DE ALAGOAS,AL
Feira Grande,AL,FEIRA GRANDE,AL
Feliz Deserto,AL,FELIZ DESERTO,AL
Flexeiras,AL,FLEXEIRAS,AL
Girau do Ponciano,AL,GIRAU DO PONCIANO,AL
Ibateguara,AL,IBATEGUARA,AL
Igaci,AL,IGACI,AL
Igreja Nova,AL,IGREJA NOVA,AL
Inhapi,AL,INHAPI,AL
Jacaré dos Homens,AL,JACARE DOS HOMENS,AL
Jacuípe,AL,JACUIPE,AL
Japaratinga,AL,JAPARATINGA,AL
Jaramataia,AL,JARAMATAIA,AL
Jequiá da Praia,AL,JEQUIA DA PRAIA,AL
Joaquim Gomes,AL,JOAQUIM GOMES,AL
Jundiá,AL,JUNDIA,AL
Junqueiro,AL,JUNQUEIRO,AL
Lagoa da Canoa,AL,LAGOA DA CANOA,AL
Limoeiro de Anadia,AL,LIMOEIRO DE ANADIA,AL
Maceió,AL,MACEIO,AL
Major Isidoro,AL,MAJOR ISIDORO,AL
Mar Vermelho,AL,MAR VERMELHO,AL
Maragogi,AL,MARAGOGI,AL
Maravilha,AL,MARAVILHA,AL
Marechal Deodoro,AL,MARECHAL DEODORO,AL
Maribondo,AL,MARIBONDO,AL
Mata Grande,AL,MATA GRANDE,AL
Matriz de Camaragibe,AL,MATRIZ DE CAMARAGIBE,AL
Messias,AL,MESSIAS,AL
Minador do Negrão,AL,MINADOR DO NEGRAO,AL
Monteirópolis,AL,MONTEIROPOLIS,AL
Murici,AL,MURICI,AL
Novo Lino,AL,NOVO LINO,AL
Olho d'Água das Flores,AL,OLHO D'AGUA DAS FLORES,AL
Olho d'Água do Casado,AL,OLHO D'AGUA DO CASADO,AL
Olho d'Água Grande,AL,,
Olivença,AL,OLIVENCA,AL
Ouro Branco,AL,OURO BRANCO,AL
Palestina,AL,PALESTINA,AL
Palmeira dos Índios,AL,PALMEIRA DOS INDIOS,AL
Pão de Açúcar,AL,PAO DE ACUCAR,AL
Pariconha,AL,PARICONHA,AL
Paripueira,AL,PARIPUEIRA,AL
Passo de Camaragibe,AL,PASSO DE CAMARAGIBE,AL
Paulo Jacinto,AL,PAULO JACINTO,AL
Penedo,AL,PENEDO,AL
Piaçabuçu,AL,PIACABUCU,AL
Pilar,AL,PILAR,AL
Pindoba,AL,,
Piranhas,AL,PIRANHAS,AL
Poço das Trincheiras,AL,POCO DAS TRINCHEIRAS,AL
Porto Calvo,AL,PORTO CALVO,AL
Porto de Pedras,AL,PORTO DE PEDRAS,AL
Porto Real do Colégio,AL,PORTO REAL DO COLEGIO,AL
Quebrangulo,AL,QUEBRANGULO,AL
Rio Largo,AL,RIO LARGO,AL
Roteiro,AL,ROTEIRO,AL
Santa Luzia do Norte,AL,SANTA LUZIA DO NORTE,AL
Santana do Ipanema,AL,SANTANA DO IPANEMA,AL
Santana do Mundaú,AL,SANTANA DO MUNDAU,AL
São Brás,AL,SAO BRAS,AL
São José da Laje,AL,SAO JOSE DA LAJE,AL
São José da Tapera,AL,SAO JOSE DA TAPERA,AL
São Luís do Quitunde,AL,SAO LUIS DO QUITUNDE,AL
São Miguel dos Campos,AL,SAO MIGUEL DOS CAMPOS,AL
São Miguel dos Milagres,AL,SAO MIGUEL DOS MILAGRES,AL
São Sebastião,AL,SAO SEBASTIAO,AL
Satuba,AL,SATUBA,AL
Senador Rui Palmeira,AL,SENADOR RUI PALMEIRA,AL
Tanque d'Arca,AL,TANQUE D'ARCA,AL
Taquarana,AL,TAQUARANA,AL
Teotônio Vilela,AL,TEOTONIO VILELA,AL
Traipu,AL,TRAIPU,AL
União dos Palmares,AL,UNIAO DOS PALMARES,AL
Viçosa,AL,VICOSA,AL
Alvarães,AM,ALVARAES,AM
Amaturá,AM,AMATURA,AM
Anamã,AM,ANAMA,AM
Anori,AM,ANORI,AM
Apuí,AM,APUI,AM
Atalaia do Norte,AM,ATALAIA DO NORTE,AM
Autazes,AM,AUTAZES,AM
Barcelos,AM,BARCELOS,AM
Barreirinha,AM,BARREIRINHA,AM
Benjamin Constant,AM,BENJAMIN CONSTANT,AM
Beruri,AM,BERURI,AM
Boa Vista do Ramos,AM,BOA VISTA DO RAMOS,AM
Boca do Acre,AM,BOCA DO ACRE,AM
Borba,AM,BORBA,AM
Caapiranga,AM,CAAPIRANGA,AM
Canutama,AM,CANUTAMA,AM
Carauari,AM,CARAUARI,AM
Careiro,AM,CAREIRO,AM
Careiro da Várzea,AM,CAREIRO DA VARZEA,AM
Coari,AM,COARI,AM
Codajás,AM,CODAJAS,AM
Eirunepé,AM,EIRUNEPE,AM
Envira,AM,ENVIRA,AM
Fonte Boa,AM,FONTE BOA,AM
Guajará,AM,GUAJARA,AM
Humaitá,AM,HUMAITA,AM
Ipixuna,AM,IPIXUNA,AM
Iranduba,AM,IRANDUBA,AM
Itacoatiara,AM,ITACOATIARA,AM
Itamarati,AM,ITAMARATI,AM
Itapiranga,AM,ITAPIRANGA,AM
Japurá,AM,JAPURA,AM
Juruá,AM,JURUA,AM
Jutaí,AM,JUTAI,AM
Lábrea,AM,LABREA,AM
Manacapuru,AM,MANACAPURU,AM
Manaquiri,AM,MANAQUIRI,AM
Manaus,AM,MANAUS,AM
Manicoré,AM,MANICORE,AM
Maraã,AM,MARAA,AM
Maués,AM,MAUES,AM
Nhamundá,AM,NHAMUNDA,AM
Nova Olinda do Norte,AM,NOVA OLINDA DO NORTE,AM
Novo Airão,AM,NOVO AIRAO,AM
Novo Aripuanã,AM,NOVO ARIPUANA,AM
Parintins,AM,PARINTINS,AM
Pauini,AM,PAUINI,AM
Presidente Figueiredo,AM,PRESIDENTE FIGUEIREDO,AM
Rio Preto da Eva,AM,RIO PRETO DA EVA,AM
Santa Isabel do Rio Negro,AM,SANTA ISABEL DO RIO NEGRO,AM
Santo Antônio do Içá,AM,SANTO ANTONIO DO ICA,AM
São Gabriel da Cachoeira,AM,SAO GABRIEL DA CACHOEIRA,AM
São Paulo de Olivença,AM,SAO PAULO DE OLIVENCA,AM
São Sebastião do Uatumã,AM,SAO SEBASTIAO DO UATUMA,AM
Silves,AM,SILVES,AM
Tabatinga,AM,TABATINGA,AM
Tapauá,AM,TAPAUA,AM
Tefé,AM,TEFE,AM
Tonantins,AM,TONANTINS,AM
Uarini,AM,UARINI,AM
Urucará,AM,URUCARA,AM
Urucurituba,AM,URUCURITUBA,AM
Amapá,AP,AMAPA,AP
Calçoene,AP,CALCOENE,AP
Cutias,AP,CUTIAS,AP
Ferreira Gomes,AP,FERREIRA GOMES,AP
Itaubal,AP,ITAUBAL,AP
Laranjal do Jari,AP,LARANJAL DO JARI,AP
Macapá,AP,MACAPA,AP
Mazagão,AP,MAZAGAO,AP
Oiapoque,AP,OIAPOQUE,AP
Pedra Branca do Amapari,AP,PEDRA BRANCA DO AMAPARI,AP
Porto Grande,AP,PORTO GRANDE,AP
Pracuúba,AP,PRACUUBA,AP
Santana,AP,SANTANA,AP
Serra do Navio,AP,SERRA DO NAVIO,AP
Tartarugalzinho,AP,TARTARUGALZINHO,AP
Vitória do Jari,AP,VITORIA DO JARI,AP
Abaíra,BA,ABAIRA,BA
Abaré,BA,ABARE,BA
Acajutiba,BA,ACAJUTIBA,BA
Adustina,BA,ADUSTINA,BA
Água Fria,BA,,
Aiquara,BA,AIQUARA,BA
Alagoinhas,BA,ALAGOINHAS,BA
Alcobaça,BA,ALCOBACA,BA
Almadina,BA,ALMADINA,BA
Amargosa,BA,AMARGOSA,BA
Amélia Rodrigues,BA,AMELIA RODRIGUES,BA
América Dourada,BA,AMERICA DOURADA,BA
Anagé,BA,ANAGE,BA
Andaraí,BA,ANDARAI,BA
Andorinha,BA,ANDORINHA,BA
Angical,BA,ANGICAL,BA
Anguera,BA,,
Antas,BA,ANTAS,BA
Antônio Cardoso,BA,ANTONIO CARDOSO,BA
Antônio Gonçalves,BA,ANTONIO GONCALVES,BA
Aporá,BA,APORA,BA
Apuarema,BA,APUAREMA,BA
Araçás,BA,ARACAS,BA
Aracatu,BA,ARACATU,BA
Araci,BA,ARACI,BA
Aramari,BA,,
Arataca,BA,ARATACA,BA
Aratuípe,BA,ARATUIPE,BA
Aurelino Leal,BA,AURELINO LEAL,BA
Baianópolis,BA,BAIANOPOLIS,BA
Baixa Grande,BA,BAIXA GRANDE,BA
Banzaê,BA,BANZAE,BA
Barra,BA,BARRA,BA
Barra da Estiva,BA,BARRA DA ESTIVA,BA
Barra do Choça,BA,BARRA DO CHOCA,BA
Barra do Mendes,BA,BARRA DO MENDES,BA
Barra do Rocha,BA,BARRA DO ROCHA,BA
Barreiras,BA,BARREIRAS,BA
Barro Alto,BA,BARRO ALTO,BA
Barro Preto,BA,BARRO PRETO,BA
Barrocas,BA,,
Belmonte,BA,BELMONTE,BA
Belo Campo,BA,BELO CAMPO,BA
Biritinga,BA,,
Boa Nova,BA,BOA NOVA,BA
Boa Vista do Tupim,BA,BOA VISTA DO TUPIM,BA
Bom Jesus da Lapa,BA,BOM JESUS DA LAPA,BA
Bom Jesus da Serra,BA,BOM JESUS DA SERRA,BA
Boninal,BA,BONINAL,BA
Bonito,BA,BONITO,BA
Boquira,BA,BOQUIRA,BA
Botuporã,BA,BOTUPORA,BA
Brejões,BA,BREJOES,BA
Brejolândia,BA,BREJOLANDIA,BA
Brotas de Macaúbas,BA,BROTAS DE MACAUBAS,BA
Brumado,BA,BRUMADO,BA
Buerarema,BA,BUERAREMA,BA
Buritirama,BA,BURITIRAMA,BA
Caatiba,BA,CAATIBA,BA
Cabaceiras do Paraguaçu,BA,CABACEIRAS DO PARAGUACU,BA
Cachoeira,BA,CACHOEIRA,BA
Caculé,BA,CACULE,BA
